city	macroregion
ITUPORANGA	Itajai Valley
PETROLANDIA	Itajai Valley
VIDAL RAMOS	Itajai Valley
ANGELINA	Greater Florianopolis
CANELINHA	Greater Florianopolis
LEOBERTO LEAL	Greater Florianopolis
MAJOR GERCINO	Greater Florianopolis
NOVA TRENTO	Greater Florianopolis
SAO JOAO BATISTA	Greater Florianopolis
TIJUCAS	Greater Florianopolis
ANTONIO CARLOS	Greater Florianopolis
BIGUACU	Greater Florianopolis
FLORIANOPOLIS	Greater Florianopolis
GOVERNADOR CELSO RAMOS	Greater Florianopolis
PALHOCA	Greater Florianopolis
PAULO LOPES	Greater Florianopolis
SANTO AMARO DA IMPERATRIZ	Greater Florianopolis
SAO JOSE	Greater Florianopolis
SAO PEDRO DE ALCANTARA	Greater Florianopolis
AGUAS MORNAS	Greater Florianopolis
ALFREDO WAGNER	Greater Florianopolis
ANITAPOLIS	Greater Florianopolis
RANCHO QUEIMADO	Greater Florianopolis
SAO BONIFACIO	Greater Florianopolis
ARMAZEM	Southern Santa Catarina
BRACO DO NORTE	Southern Santa Catarina
CAPIVARI DE BAIXO	Southern Santa Catarina
GAROPABA	Southern Santa Catarina
GRAO-PARA	Southern Santa Catarina
GRAVATAL	Southern Santa Catarina
IMARUI	Southern Santa Catarina
IMBITUBA	Southern Santa Catarina
JAGUARUNA	Southern Santa Catarina
LAGUNA	Southern Santa Catarina
ORLEANS	Southern Santa Catarina
PEDRAS GRANDES	Southern Santa Catarina
PESCARIA BRAVA	Southern Santa Catarina
RIO FORTUNA	Southern Santa Catarina
SANGAO	Southern Santa Catarina
SANTA ROSA DE LIMA	Southern Santa Catarina
SAO LUDGERO	Southern Santa Catarina
SAO MARTINHO	Southern Santa Catarina
TREZE DE MAIO	Southern Santa Catarina
TUBARAO	Southern Santa Catarina
BALNEARIO RINCAO	Southern Santa Catarina
COCAL DO SUL	Southern Santa Catarina
CRICIUMA	Southern Santa Catarina
FORQUILHINHA	Southern Santa Catarina
ICARA	Southern Santa Catarina
LAURO MULLER	Southern Santa Catarina
MORRO DA FUMACA	Southern Santa Catarina
NOVA VENEZA	Southern Santa Catarina
SIDEROPOLIS	Southern Santa Catarina
TREVISO	Southern Santa Catarina
URUSSANGA	Southern Santa Catarina
ARARANGUA	Southern Santa Catarina
BALNEARIO ARROIO DO SILVA	Southern Santa Catarina
BALNEARIO GAIVOTA	Southern Santa Catarina
ERMO	Southern Santa Catarina
JACINTO MACHADO	Southern Santa Catarina
MARACAJA	Southern Santa Catarina
MELEIRO	Southern Santa Catarina
MORRO GRANDE	Southern Santa Catarina
PASSO DE TORRES	Southern Santa Catarina
PRAIA GRANDE	Southern Santa Catarina
SANTA ROSA DO SUL	Southern Santa Catarina
SAO JOAO DO SUL	Southern Santa Catarina
SOMBRIO	Southern Santa Catarina
TIMBE DO SUL	Southern Santa Catarina
TURVO	Southern Santa Catarina
